capacity,start_day,seed,cand_is_p0,cand_score,v025_score,won,delta,cash_d8,cash_d12,cash_d18,cash_d24,cash_d29
40,5,909,True,54939.0,57530.0,0,-2591.0,675.0,11486.0,22543.0,42286.0,54818.0
40,5,909,False,52521.0,50237.0,1,2284.0,674.0,11403.0,22847.0,42177.0,52937.0
40,7,42,True,81614.0,85028.0,0,-3414.0,658.0,11673.0,21132.0,51245.0,80564.0
40,7,42,False,71211.0,69564.0,1,1647.0,562.0,10980.0,20590.0,47736.0,69908.0
40,7,101,True,30897.0,30936.0,0,-39.0,737.0,11479.0,18568.0,28892.0,31560.0
40,7,101,False,30111.0,29580.0,1,531.0,737.0,11112.0,18158.0,28137.0,30692.0
40,7,202,True,50434.0,39135.0,1,11299.0,669.0,10371.0,18993.0,38450.0,48837.0
40,7,202,False,71516.0,69144.0,1,2372.0,669.0,9758.0,20509.0,51707.0,71181.0
40,7,303,True,52086.0,47075.0,1,5011.0,622.0,10530.0,18150.0,34628.0,50553.0
40,7,303,False,53884.0,49534.0,1,4350.0,650.0,9562.0,19285.0,35907.0,52624.0
40,7,404,True,51339.0,50046.0,1,1293.0,624.0,11441.0,20720.0,34878.0,50482.0
40,7,404,False,36389.0,28200.0,1,8189.0,635.0,10257.0,14329.0,27591.0,36238.0
40,7,505,True,53098.0,50878.0,1,2220.0,700.0,12334.0,22974.0,38729.0,52139.0
40,7,505,False,52994.0,47189.0,1,5805.0,700.0,12334.0,23251.0,40676.0,52537.0
40,7,606,True,50620.0,44408.0,1,6212.0,676.0,11172.0,19643.0,39469.0,50723.0
40,7,606,False,55558.0,57377.0,0,-1819.0,678.0,11176.0,19934.0,41612.0,55927.0
40,7,707,True,33388.0,23140.0,1,10248.0,712.0,10029.0,15000.0,27373.0,33384.0
40,7,707,False,40691.0,30140.0,1,10551.0,617.0,9214.0,16714.0,31467.0,40753.0
40,7,808,True,36937.0,30923.0,1,6014.0,669.0,11130.0,18679.0,27458.0,36431.0
40,7,808,False,50313.0,44146.0,1,6167.0,669.0,11130.0,19031.0,34829.0,49157.0
40,7,909,True,58931.0,54289.0,1,4642.0,643.0,12076.0,23666.0,43428.0,59054.0
40,7,909,False,59057.0,59139.0,0,-82.0,678.0,12041.0,23572.0,44034.0,58642.0
40,8,42,True,69505.0,64644.0,1,4861.0,1059.0,11419.0,22123.0,48335.0,68384.0
40,8,42,False,38706.0,26862.0,1,11844.0,1058.0,11364.0,19797.0,31649.0,39059.0
40,8,101,True,69736.0,75573.0,0,-5837.0,902.0,11532.0,25197.0,46398.0,68872.0
40,8,101,False,43732.0,41024.0,1,2708.0,902.0,10665.0,22973.0,35896.0,44422.0
40,8,202,True,68052.0,65047.0,1,3005.0,1068.0,11250.0,21170.0,45610.0,66874.0
40,8,202,False,57615.0,50543.0,1,7072.0,1068.0,11000.0,21266.0,42790.0,57960.0
40,8,303,True,50411.0,44440.0,1,5971.0,1095.0,10432.0,18091.0,31576.0,48492.0
40,8,303,False,52008.0,48139.0,1,3869.0,1051.0,10636.0,20720.0,35566.0,51690.0
40,8,404,True,45281.0,47687.0,0,-2406.0,1049.0,11666.0,20904.0,31987.0,45773.0
40,8,404,False,50233.0,48789.0,1,1444.0,799.0,10462.0,19737.0,33463.0,50242.0
40,8,505,True,51323.0,42167.0,1,9156.0,1000.0,11507.0,18926.0,31685.0,50436.0
40,8,505,False,51455.0,43524.0,1,7931.0,1000.0,11507.0,18923.0,31849.0,50462.0
40,8,606,True,51482.0,44071.0,1,7411.0,1076.0,10968.0,21198.0,36611.0,51825.0
40,8,606,False,44510.0,32586.0,1,11924.0,1078.0,11017.0,19476.0,33075.0,45213.0
40,8,707,True,39320.0,26363.0,1,12957.0,1144.0,10075.0,15928.0,26833.0,38282.0
40,8,707,False,50004.0,36134.0,1,13870.0,777.0,10624.0,18454.0,30312.0,49094.0
40,8,808,True,52721.0,45031.0,1,7690.0,1073.0,11079.0,21203.0,39804.0,52569.0
40,8,808,False,66410.0,64295.0,1,2115.0,1073.0,11079.0,21497.0,47047.0,66623.0
40,8,909,True,77932.0,79644.0,0,-1712.0,1077.0,10810.0,21294.0,47854.0,75533.0
40,8,909,False,86605.0,83668.0,1,2937.0,1078.0,10917.0,21572.0,50310.0,83793.0
40,9,42,True,82190.0,76989.0,1,5201.0,1059.0,10534.0,22002.0,51595.0,80298.0
40,9,42,False,38865.0,27242.0,1,11623.0,1058.0,10996.0,19158.0,26770.0,38615.0
40,9,101,True,26162.0,27294.0,0,-1132.0,902.0,11504.0,17489.0,24757.0,26852.0
40,9,101,False,30220.0,30106.0,1,114.0,902.0,11137.0,18313.0,27255.0,30888.0
40,9,202,True,48041.0,46624.0,1,1417.0,1068.0,10889.0,20983.0,34844.0,47488.0
40,9,202,False,69461.0,63896.0,1,5565.0,1068.0,10829.0,21914.0,50148.0,69797.0
40,9,303,True,48734.0,33994.0,1,14740.0,1095.0,10730.0,18750.0,32914.0,48910.0
40,9,303,False,56774.0,50394.0,1,6380.0,1051.0,10354.0,20171.0,38345.0,57231.0
40,9,404,True,42707.0,45413.0,0,-2706.0,1049.0,11014.0,20737.0,30154.0,42651.0
40,9,404,False,41245.0,37485.0,1,3760.0,799.0,10230.0,15722.0,26378.0,40968.0
40,9,505,True,50312.0,47815.0,1,2497.0,1000.0,12034.0,23582.0,35857.0,50592.0
40,9,505,False,54206.0,48371.0,1,5835.0,1000.0,12034.0,24478.0,37609.0,54150.0
40,9,606,True,78971.0,73248.0,1,5723.0,1076.0,10961.0,21592.0,50976.0,78470.0
40,9,606,False,44106.0,36067.0,1,8039.0,1078.0,9755.0,20972.0,36701.0,44364.0
40,9,707,True,40387.0,29344.0,1,11043.0,1144.0,9820.0,17389.0,23958.0,40558.0
40,9,707,False,48025.0,31406.0,1,16619.0,777.0,10426.0,20035.0,30797.0,47082.0
40,9,808,True,52797.0,42804.0,1,9993.0,1073.0,10743.0,20584.0,36645.0,53447.0
40,9,808,False,51112.0,41847.0,1,9265.0,1073.0,10743.0,19671.0,34786.0,51099.0
40,9,909,True,50450.0,38201.0,1,12249.0,1077.0,10709.0,20335.0,36091.0,50719.0
40,9,909,False,46607.0,37448.0,1,9159.0,1078.0,10569.0,19515.0,32815.0,46873.0
